2023/08/20/, 17:40:20;['https://relay.flashbots.net/', {'id': 9576083446511, 'jsonrpc': '2.0', 'method': 'eth_sendRawTransaction', 'params': ['0x02f873018202438405f5e1008504dbc12909825208944113b9c8f0d0357b99ef2b86e3eb653e08449e6f865af3107a400080c080a00befe61962d578b0adb88cd33a9d1aa7d7a0d7f3996b8c9a29c4f6c585aa5051a06e028ac53571611c68e36721efb3078c80abc0e1696e391cd1ee7bfad483337a']}, {'ip': '185.125.202.221', 'from': '0x4113b9c8f0d0357b99ef2b86e3eb653e08449e6f', 'to': '0x4113b9c8f0d0357b99ef2b86e3eb653e08449e6f', 'value': 100000000000000, 'url_provider': 'https://api.speedynodes.net:8443/mainnet/eth-http?apikey=kCWonyiXqP9jbpzfozs6wckB6YspxqVg'}, 'mev']
2023/08/20/, 17:44:25;['https://relay.flashbots.net/', {'id': 9576083446516, 'jsonrpc': '2.0', 'method': 'eth_sendRawTransaction', 'params': ['0x02f873018202438405f5e1008504dbc12909825208944113b9c8f0d0357b99ef2b86e3eb653e08449e6f865af3107a400080c080a00befe61962d578b0adb88cd33a9d1aa7d7a0d7f3996b8c9a29c4f6c585aa5051a06e028ac53571611c68e36721efb3078c80abc0e1696e391cd1ee7bfad483337a']}, {'ip': '185.125.202.221', 'from': '0x4113b9c8f0d0357b99ef2b86e3eb653e08449e6f', 'to': '0x4113b9c8f0d0357b99ef2b86e3eb653e08449e6f', 'value': 100000000000000, 'url_provider': 'https://api.speedynodes.net:8443/mainnet/eth-http?apikey=kCWonyiXqP9jbpzfozs6wckB6YspxqVg'}, 'mev']
2023/08/20/, 17:44:38;['https://rpc.payload.de/', {'id': 9576083446516, 'jsonrpc': '2.0', 'method': 'eth_sendRawTransaction', 'params': ['0x02f873018202438405f5e1008504dbc12909825208944113b9c8f0d0357b99ef2b86e3eb653e08449e6f865af3107a400080c080a00befe61962d578b0adb88cd33a9d1aa7d7a0d7f3996b8c9a29c4f6c585aa5051a06e028ac53571611c68e36721efb3078c80abc0e1696e391cd1ee7bfad483337a']}, {'ip': '185.125.202.221', 'from': '0x4113b9c8f0d0357b99ef2b86e3eb653e08449e6f', 'to': '0x4113b9c8f0d0357b99ef2b86e3eb653e08449e6f', 'value': 100000000000000, 'url_provider': 'https://api.speedynodes.net:8443/mainnet/eth-http?apikey=kCWonyiXqP9jbpzfozs6wckB6YspxqVg'}, 'mev']
2023/08/20/, 17:44:49;['https://nfactorial.xyz/', {'id': 9576083446516, 'jsonrpc': '2.0', 'method': 'eth_sendRawTransaction', 'params': ['0x02f873018202438405f5e1008504dbc12909825208944113b9c8f0d0357b99ef2b86e3eb653e08449e6f865af3107a400080c080a00befe61962d578b0adb88cd33a9d1aa7d7a0d7f3996b8c9a29c4f6c585aa5051a06e028ac53571611c68e36721efb3078c80abc0e1696e391cd1ee7bfad483337a']}, {'ip': '185.125.202.221', 'from': '0x4113b9c8f0d0357b99ef2b86e3eb653e08449e6f', 'to': '0x4113b9c8f0d0357b99ef2b86e3eb653e08449e6f', 'value': 100000000000000, 'url_provider': 'https://api.speedynodes.net:8443/mainnet/eth-http?apikey=kCWonyiXqP9jbpzfozs6wckB6YspxqVg'}, 'mev']
2023/08/20/, 17:56:19;['https://relay.flashbots.net/', {'id': 9576083446551, 'jsonrpc': '2.0', 'method': 'eth_sendRawTransaction', 'params': ['0x02f873018202438405f5e1008504dbc12909825208944113b9c8f0d0357b99ef2b86e3eb653e08449e6f865af3107a400080c080a00befe61962d578b0adb88cd33a9d1aa7d7a0d7f3996b8c9a29c4f6c585aa5051a06e028ac53571611c68e36721efb3078c80abc0e1696e391cd1ee7bfad483337a']}, {'ip': '185.125.202.221', 'from': '0x4113b9c8f0d0357b99ef2b86e3eb653e08449e6f', 'to': '0x4113b9c8f0d0357b99ef2b86e3eb653e08449e6f', 'value': 100000000000000, 'url_provider': 'https://api.speedynodes.net:8443/mainnet/eth-http?apikey=kCWonyiXqP9jbpzfozs6wckB6YspxqVg'}, 'mev']
2023/08/20/, 17:56:26;['https://rpc.payload.de/', {'id': 9576083446551, 'jsonrpc': '2.0', 'method': 'eth_sendRawTransaction', 'params': ['0x02f873018202438405f5e1008504dbc12909825208944113b9c8f0d0357b99ef2b86e3eb653e08449e6f865af3107a400080c080a00befe61962d578b0adb88cd33a9d1aa7d7a0d7f3996b8c9a29c4f6c585aa5051a06e028ac53571611c68e36721efb3078c80abc0e1696e391cd1ee7bfad483337a']}, {'ip': '185.125.202.221', 'from': '0x4113b9c8f0d0357b99ef2b86e3eb653e08449e6f', 'to': '0x4113b9c8f0d0357b99ef2b86e3eb653e08449e6f', 'value': 100000000000000, 'url_provider': 'https://api.speedynodes.net:8443/mainnet/eth-http?apikey=kCWonyiXqP9jbpzfozs6wckB6YspxqVg'}, 'mev']
2023/08/20/, 17:56:37;['https://nfactorial.xyz/', {'id': 9576083446551, 'jsonrpc': '2.0', 'method': 'eth_sendRawTransaction', 'params': ['0x02f873018202438405f5e1008504dbc12909825208944113b9c8f0d0357b99ef2b86e3eb653e08449e6f865af3107a400080c080a00befe61962d578b0adb88cd33a9d1aa7d7a0d7f3996b8c9a29c4f6c585aa5051a06e028ac53571611c68e36721efb3078c80abc0e1696e391cd1ee7bfad483337a']}, {'ip': '185.125.202.221', 'from': '0x4113b9c8f0d0357b99ef2b86e3eb653e08449e6f', 'to': '0x4113b9c8f0d0357b99ef2b86e3eb653e08449e6f', 'value': 100000000000000, 'url_provider': 'https://api.speedynodes.net:8443/mainnet/eth-http?apikey=kCWonyiXqP9jbpzfozs6wckB6YspxqVg'}, 'mev']
2023/08/20/, 18:09:55;['https://rpc.lightspeedbuilder.info/', {'id': 9576083446551, 'jsonrpc': '2.0', 'method': 'eth_sendRawTransaction', 'params': ['0x02f873018202438405f5e1008504dbc12909825208944113b9c8f0d0357b99ef2b86e3eb653e08449e6f865af3107a400080c080a00befe61962d578b0adb88cd33a9d1aa7d7a0d7f3996b8c9a29c4f6c585aa5051a06e028ac53571611c68e36721efb3078c80abc0e1696e391cd1ee7bfad483337a']}, {'ip': '185.125.202.221', 'from': '0x4113b9c8f0d0357b99ef2b86e3eb653e08449e6f', 'to': '0x4113b9c8f0d0357b99ef2b86e3eb653e08449e6f', 'value': 100000000000000, 'url_provider': 'https://api.speedynodes.net:8443/mainnet/eth-http?apikey=kCWonyiXqP9jbpzfozs6wckB6YspxqVg'}, 'mev']
2023/08/20/, 18:10:01;['https://eth-builder.com/', {'id': 9576083446551, 'jsonrpc': '2.0', 'method': 'eth_sendRawTransaction', 'params': ['0x02f873018202438405f5e1008504dbc12909825208944113b9c8f0d0357b99ef2b86e3eb653e08449e6f865af3107a400080c080a00befe61962d578b0adb88cd33a9d1aa7d7a0d7f3996b8c9a29c4f6c585aa5051a06e028ac53571611c68e36721efb3078c80abc0e1696e391cd1ee7bfad483337a']}, {'ip': '185.125.202.221', 'from': '0x4113b9c8f0d0357b99ef2b86e3eb653e08449e6f', 'to': '0x4113b9c8f0d0357b99ef2b86e3eb653e08449e6f', 'value': 100000000000000, 'url_provider': 'https://api.speedynodes.net:8443/mainnet/eth-http?apikey=kCWonyiXqP9jbpzfozs6wckB6YspxqVg'}, 'mev']
2023/08/20/, 18:10:14;['https://relay.flashbots.net/', {'id': 9576083446552, 'jsonrpc': '2.0', 'method': 'eth_sendRawTransaction', 'params': ['0x02f873018202438405f5e1008504dbc12909825208944113b9c8f0d0357b99ef2b86e3eb653e08449e6f865af3107a400080c080a00befe61962d578b0adb88cd33a9d1aa7d7a0d7f3996b8c9a29c4f6c585aa5051a06e028ac53571611c68e36721efb3078c80abc0e1696e391cd1ee7bfad483337a']}, {'ip': '185.125.202.221', 'from': '0x4113b9c8f0d0357b99ef2b86e3eb653e08449e6f', 'to': '0x4113b9c8f0d0357b99ef2b86e3eb653e08449e6f', 'value': 100000000000000, 'url_provider': 'https://api.speedynodes.net:8443/mainnet/eth-http?apikey=kCWonyiXqP9jbpzfozs6wckB6YspxqVg'}, 'mev']
2023/08/20/, 18:10:26;['https://rpc.payload.de/', {'id': 9576083446552, 'jsonrpc': '2.0', 'method': 'eth_sendRawTransaction', 'params': ['0x02f873018202438405f5e1008504dbc12909825208944113b9c8f0d0357b99ef2b86e3eb653e08449e6f865af3107a400080c080a00befe61962d578b0adb88cd33a9d1aa7d7a0d7f3996b8c9a29c4f6c585aa5051a06e028ac53571611c68e36721efb3078c80abc0e1696e391cd1ee7bfad483337a']}, {'ip': '185.125.202.221', 'from': '0x4113b9c8f0d0357b99ef2b86e3eb653e08449e6f', 'to': '0x4113b9c8f0d0357b99ef2b86e3eb653e08449e6f', 'value': 100000000000000, 'url_provider': 'https://api.speedynodes.net:8443/mainnet/eth-http?apikey=kCWonyiXqP9jbpzfozs6wckB6YspxqVg'}, 'mev']
